mouseNum,sex,pgm,chitau,ontau,tauoff,phase,amp,act,alpha,sdon,offsd,onoff,slop,D1Mit3,D1Mit22,D1Mit44,D1Mit33,D1Mit17,D2Mit1,D2Mit365,D2Mit56,D2Mit43,D2Mit48,D2Mit230,D3Mit131,D3Mit6,D3Mit11,D3Mit17,D3Mit162,D3Mit19,D4Mit1,D4Mit105,D4Mit108,D4Mit53,D4Mit139,D4Mit178,D4Mit27,D4Mit31,D4Mit203,D4Mit131,D5Mit73,D5Mit11,D5Mit135,D5Mit309,D5Mit398,D5Mit188,D5Mit95,D5Mit30,D5Mit98,D5Mit223,D6Mit1,D6Mit74,D6Mit19,D6Mit39,D6Mit15,D7Mit152,D7Mit25,D7Mit30,D7Mit68,D7Mit46,D8Mit58,D8Mit4,D8Mit25,D8Mit84,D8Mit47,D8Mit200,D8Mit13,D8Mit14,D8Mit42,D9Mit2,D9Mit4,D9Mit11,D9Mit37,D10NDs1,D10Mit51,D10Mit86,D10Mit170,D10Mit31,D10Mit10,D10Mit14,D10Mit233,D10Mit264,D11Mit2,D11Mit5,D11Mit59,D11Mit168,D12Mit81,D12Mit46,D12Mit236,D12Mit251,D12Mit71,D12Mit74,D12Mit5,D12Mit205,D12Mit260,D12Mit7,D12Mit195,D12Mit122,D12Mit150,vip,D12Mit263,D12Mit18,D13Mit13,D13Mit30,D13Mit53,D13Mit151,D14Mit14,D14Mit28,D14Mit7,D14Mit9,D14Mit34,D14Mit228,D15Mit53,D15Mit28,D15Mit35,D16Mit9,D16Mit4,D16Mit27,D16Mit106,D17Mit18,D17Mit6,D17Mit39,D18Mit18,D18Mit17,D18Mit40,D18Mit4,D19Mit93,D19Mit68,D19Mit28,D19Mit40,D19Mit46,D19Mit11,D19Mit1,D19Mit71,DXMit27,DXMit22,DXMit79,DXMit20
170,1,0,23.07,22.92,22.89,-0.57,15.18,27508,11.47,0.86,1.69,0.509,0,H,H,B,H,H,H,-,H,H,H,B,A,A,A,A,A,A,H,H,A,A,A,A,A,B,A,A,H,B,B,B,B,B,B,-,B,B,H,-,H,H,-,B,B,H,H,H,H,H,B,B,-,B,B,B,B,H,H,H,A,H,H,H,H,H,H,H,H,H,A,H,H,B,B,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,B,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,A,A,B
171,1,0,24.03,24,23.83,-1.36,5.12,22567,15.38,0.82,1.42,0.577,0,H,B,H,H,H,H,-,H,H,H,A,H,B,H,H,B,B,H,H,H,H,H,H,H,H,B,H,B,B,H,H,H,H,H,H,H,H,H,-,H,H,-,A,A,H,A,A,B,H,H,H,-,H,H,H,H,H,H,H,H,A,H,H,H,H,H,A,A,H,A,H,B,B,A,A,A,A,-,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,A,H,H,H,H,B,H,H,H,A,B,H,H,A,A,A,A,H,H,H,H,H,H,H,H,A,A,B,B
172,1,0,23.62,23.46,23.42,-0.34,14.72,30728,14.54,1.04,1.56,0.667,0,B,B,B,H,A,A,-,A,A,H,H,A,A,H,H,H,H,B,B,B,B,B,B,B,B,B,B,A,A,H,H,H,H,H,H,H,H,B,-,H,H,-,A,A,A,H,B,H,H,B,B,-,B,H,H,H,H,B,B,B,H,H,H,H,H,B,B,B,B,H,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,B,B,B,B,B,H,H,H,A,A,A,A,H,A,A,A,A
173,0,0,22.87,22.8,22.81,-6.48,9.72,36124,14.23,1.24,0.99,1.253,1,B,B,B,A,A,B,-,H,H,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,A,A,A,H,-,A,A,A,A,A,A,A,H,B,-,B,B,B,A,A,A,A,A,H,H,H,A,A,H,H,A,H,B,B,B,B,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,H,A,H,A,A,H,H,A,A,H,A,A,A,A,H,B,H,A,H,H,A,A,A,H,H,H,H,H,H,H,A,H
174,1,0,24.62,24.08,24.41,-0.23,5.09,29960,15.33,0.45,1.1,0.409,0,A,H,A,B,B,H,-,H,A,H,H,H,A,H,H,H,H,H,H,H,H,H,A,A,A,-,A,A,H,H,H,H,H,H,A,A,A,A,-,B,A,-,A,H,H,H,B,A,A,A,H,-,H,B,B,A,A,A,A,A,H,H,H,H,B,B,B,B,H,H,H,A,A,H,H,B,B,-,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,H,-,B,A,B,B,H,A,A,A,B,H,H,A,A,A,A,H,H,H,B,B,H,H,H,A,B,B,A
175,1,0,23.15,22.56,23.01,-0.68,4.61,32212,14.53,1.43,1.17,1.222,2,B,B,B,H,H,H,-,H,H,H,H,H,H,H,B,B,B,H,H,A,A,A,H,H,H,H,B,B,B,H,H,H,H,H,H,B,B,H,-,H,H,-,B,H,H,H,A,B,A,A,A,A,A,H,H,H,B,B,H,H,H,H,H,H,B,B,B,B,H,B,-,H,H,B,H,H,H,-,H,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,H,H,-,H,H,H,H,A,B,A,H,H,-,H,H,B,B,B,B,H,H,H,H,H,H,H,H,A,B,B,A
176,1,0,22.82,22.8,22.58,-0.91,13.61,22,15.7,1.31,2.23,0.587,2,H,A,H,A,H,H,-,H,H,B,B,-,H,-,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,B,-,A,A,-,A,A,A,A,A,A,H,H,H,-,-,A,-,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,B,B,B,B,-,H,H,H,H,A,A,A,A,A,A,A,B,H,H,H,A,H,H,H,H,H,H,B,B,H,A,B,A,B,H,H,H,H,B,H,A,A,A,A,A,A,H,H,A,A,B,B
177,1,0,23.48,23.57,23.29,-9.55,5.49,28883,16.13,0.65,0.7,0.929,3,H,H,-,H,H,B,-,H,H,H,H,B,A,A,H,H,B,H,H,H,H,B,B,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,-,H,H,-,H,H,H,B,B,B,B,B,B,-,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,B,A,B,H,H,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,H,H,B,H,H,H,H,-,H,-,B,B,B,H,A,B,A,A,A,H,B,B,H,H,H,H,H,H,H,H,A,A,B,B,A,A
178,1,0,23.8,23.85,23.89,-10.68,1.52,23587,18.99,0.65,1.13,0.575,3,H,B,H,B,B,H,-,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,H,A,A,A,A,A,A,A,-,-,A,A,-,A,A,A,A,H,H,H,H,H,-,H,H,H,H,A,A,H,H,H,H,H,B,B,B,B,B,B,A,H,B,B,A,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,B,A,H,H,H,B,A,H,H,H,H,A,A,A,H,H,H,H,H,H,A,A,B,A,A,A
179,1,0,23.78,23.8,23.99,-1.36,4.8,38402,18.44,0.41,1.13,0.363,2,B,H,A,H,A,A,-,H,H,H,B,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A,H,B,B,B,B,H,A,A,A,A,H,A,-,H,H,-,H,H,A,H,H,H,H,H,H,-,H,H,H,-,B,B,B,B,H,H,H,H,H,B,B,B,H,H,B,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,A,A,A,B,H,B,A,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,A,A,H,H
180,0,0,23.7,23.68,23.65,0.8,15.71,28661,11.34,0.35,1.01,0.347,0,A,A,H,B,H,H,-,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,A,A,H,H,H,A,A,A,A,H,H,-,H,H,-,B,B,B,H,H,A,B,B,H,-,H,H,H,H,B,B,B,B,H,H,H,B,B,B,B,B,B,H,B,B,B,A,A,H,H,-,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,A,A,A,B,A,A,H,H,H,B,H,H,A,A,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A
181,0,0,23.7,23.67,23.72,0,14.2,43403,13.94,0.27,0.59,0.458,0,H,H,H,H,H,H,-,B,B,B,H,B,H,H,A,A,A,B,B,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,-,B,B,-,H,H,B,B,B,H,H,H,H,-,H,A,A,A,H,H,B,H,H,H,H,H,H,H,H,H,B,B,H,H,B,-,H,H,H,-,H,H,H,A,-,-,A,A,A,A,A,B,B,H,B,H,H,A,A,A,A,H,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,A,A,A,H
182,0,0,23.58,23.66,23.56,-0.34,12.31,34187,13.95,0.5,0.92,0.543,0,H,H,H,H,B,A,-,H,H,B,H,B,B,B,B,B,B,H,H,H,H,-,A,H,H,H,A,A,A,B,B,B,B,B,H,B,B,B,-,H,H,-,B,B,B,B,B,H,H,H,B,-,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,B,B,B,B,H,A,A,A,-,H,H,H,H,-,-,B,-,-,H,H,B,H,H,H,B,B,B,H,B,B,H,H,A,H,H,H,H,-,A,A,B,B,B,H,A,A,A,A,B,H,H,H,H,H,H,H
183,0,0,23.77,23.78,23.95,0.68,3.36,8817,19.52,0.33,1.11,0.297,2,H,A,H,A,A,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,A,H,H,H,H,H,H,H,H,H,H,H,-,A,A,-,H,A,A,A,A,H,B,B,B,-,B,B,B,B,A,A,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,-,H,H,H,B,-,-,B,-,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,A,A,A,A,A,A,B,B,A,A,B,H
184,0,0,23.4,23.38,23.35,0.23,19.64,41799,12.68,0.27,0.8,0.338,0,B,H,B,H,H,H,-,H,H,B,B,H,H,A,A,A,A,B,B,B,B,B,B,H,H,H,B,H,-,A,A,A,H,H,-,H,H,A,-,H,B,-,H,B,B,B,H,B,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,B,B,H,H,H,B,H,H,A,B,B,B,B,-,B,B,B,-,B,B,B,B,B,B,B,H,H,H,H,A,A,H,H,A,H,H,H,B,A,A,A,H,-,B,B,H,H,H,H,A,A,H,H,H,H,H,H,A,H,H,A
185,1,0,23.92,23.9,23.82,0.91,7.4,19375,13.1,0.34,0.95,0.358,0,H,H,H,H,H,H,-,H,H,H,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,A,-,B,B,B,B,B,H,B,-,B,-,H,H,-,A,A,H,B,B,H,H,H,H,-,H,B,B,B,H,H,B,H,H,-,H,B,B,B,H,H,-,H,-,H,H,B,B,B,B,-,B,H,H,H,-,-,B,B,B,B,B,B,B,H,H,H,A,A,A,A,A,B,H,H,H,H,A,A,B,H,H,H,-,B,B,B,B,B,B,B,B,A,B,B,B,B,H
186,1,0,23.55,23.57,23.74,0.23,7.47,15551,14.59,0.31,0.53,0.585,0,H,H,H,A,H,A,-,H,H,H,H,A,A,A,A,A,A,B,B,B,B,B,B,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,-,A,A,-,B,B,B,H,H,A,A,A,A,A,A,A,A,A,H,H,H,A,H,A,A,-,H,H,B,B,B,B,A,A,A,A,A,A,A,-,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,A,A,H,A,A,A,B,H,A,H,H,H,H,H,H,B,B,H,H,H,H,A,A,A,A
187,1,0,23.92,23.65,23.48,0.34,9.16,26127,14.19,0.72,0.56,1.286,1,A,H,A,B,H,B,-,A,A,A,A,H,A,H,H,H,H,H,H,H,H,H,B,B,B,B,-,H,H,H,H,H,H,H,H,A,A,H,-,A,A,-,B,B,B,H,H,H,H,H,H,-,H,B,B,B,A,A,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,B,B,H,A,A,A,B,B,H,A,H,H,H,H,A,A,A,H,H,B,H,A,B,H,H,H,A,A,A,A,A,A,A,H,A,A,H,H
188,0,0,23.37,23.36,23.48,-0.23,22.79,51367,13.65,0.37,0.98,0.378,0,H,H,H,A,H,H,-,H,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,H,A,H,H,H,H,H,A,A,A,H,H,B,B,-,B,B,H,H,A,A,A,A,H,-,H,H,H,H,H,H,H,H,B,-,H,H,A,H,H,H,H,H,B,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,H,A,A,H,H,B,H,H,H,H,B,B,B,H,B,B,B,B,B,H,H,H,A,H,A,H
189,0,0,23.25,23.27,23.08,-1.98,19.93,51973,15.14,0.56,0.88,0.636,0,H,A,H,A,A,B,-,A,H,H,B,H,H,H,A,H,H,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,A,A,H,H,-,H,H,B,B,B,B,B,H,H,-,H,H,H,H,B,B,B,B,A,A,A,A,A,A,A,A,A,A,H,H,H,A,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,A,H,B,H,B,B,H,H,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,H
190,0,0,23.4,23.39,23.29,-0.8,18.28,48905,13.63,0.39,0.72,0.542,0,B,B,B,A,A,H,-,B,B,H,A,A,H,H,A,A,A,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,-,A,A,H,H,A,H,H,H,H,A,A,A,A,A,H,H,A,A,H,H,H,H,A,H,H,A,H,A,H,H,B,A,H,H,H,-,H,H,B,H,B,B,B,B,B,B,B,A,H,H,H,H,A,A,A,H,A,H,B,B,H,A,A,A,H,H,H,B,H,H,A,H,H,B,B,B,-,H,H,A,H,H,A
191,0,0,23.37,23.38,23.45,-0.11,12.77,39152,12.44,0.41,0.7,0.586,0,H,H,H,H,H,A,-,A,A,H,B,H,H,H,H,H,H,A,A,A,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,B,B,H,H,H,B,-,H,H,B,B,B,B,H,H,H,-,H,H,H,H,B,B,H,H,A,-,A,H,A,H,A,H,H,H,H,B,B,B,B,B,H,-,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,B,A,A,A,H,H,B,H,H,H,H,H,A,A,A,A,A,H,-,B,B,H,H,H,H
192,1,0,23.63,23.57,23.51,-2.5,13.03,35195,13.76,0.44,1.15,0.383,1,H,H,H,A,A,H,-,H,H,H,H,A,A,H,H,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,H,H,H,B,B,H,-,B,B,H,B,B,A,H,H,H,-,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,H,H,H,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,H,-,H,A,A,H,B,H,H,B,H,B,H,H,H,A,H,H,H,A,A,A,H,H,H,H,A,A,A,A,A,B,B,A,A
193,1,0,23.67,23.64,23.78,-4.09,8.61,33185,17.03,0.87,0.77,1.13,3,H,H,H,H,A,A,-,A,A,H,B,B,B,H,H,H,H,B,B,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,H,A,A,A,A,H,H,B,-,B,B,B,B,B,H,H,H,A,A,A,A,A,A,A,A,A,A,H,B,H,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,H,B,B,B,B,H,H,H,H,H,B,B,H,H,H,B,H,A,H,H,B,B,B,B,A,A,A,A,H,H,H,B,B,B,A,A
194,1,0,23.85,23.85,23.66,-0.91,17.58,39559,13.6,0.31,0.86,0.36,0,H,H,H,H,A,H,-,B,B,B,B,H,H,A,A,A,A,H,H,A,A,A,A,A,A,H,H,A,A,A,A,A,H,H,H,H,B,H,-,B,B,-,H,H,B,B,B,H,B,B,B,-,B,H,H,H,A,A,H,B,H,H,H,H,H,B,B,B,B,H,H,B,B,H,B,B,B,-,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,B,H,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,A,A,A,A
195,1,0,23.63,23.76,23.6,-3.18,20.29,39505,11.53,0.72,0.57,1.263,0,A,A,A,A,A,H,-,B,B,H,A,H,B,B,B,H,H,H,H,B,B,B,B,B,B,B,B,A,H,H,H,H,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,A,A,A,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,B,H,H,H,H,B,H,A,H,H,H,A,A,H,B,B,B,B,B,B,B,B,B,B,B,B
196,1,0,23.9,23.85,23.95,-1.59,11.73,24872,15.36,0.83,0.44,1.886,0,H,B,H,H,A,H,-,H,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,-,A,A,-,H,H,-,-,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,A,A,A,H,B,B,B,B,B,B,-,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,H,B,B,H,H,H,A,B,H,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,A,B
